sample_id	run_id	hapmap_id	population
NA20508.1.M_111124_2	ERR188021	NA20508	TSI
NA12812.1.M_111124_4	ERR188022	NA12812	CEU
HG00315.2.M_111215_5	ERR188023	HG00315	FIN
NA12749.1.M_111124_2	ERR188024	NA12749	CEU
HG00377.2.M_120131_2	ERR188025	HG00377	FIN
NA20510.3.M_120202_3	ERR188026	NA20510	TSI
NA07056.1.M_111124_3	ERR188027	NA07056	CEU
HG00155.1.M_111124_2	ERR188028	HG00155	GBR
HG00355.2.M_111215_6	ERR188029	HG00355	FIN
NA19119.3.M_120202_4	ERR188030	NA19119	YRI
HG00350.3.M_120202_3	ERR188031	HG00350	FIN
NA12275.7.M_120219_5	ERR188032	NA12275	CEU
HG00336.1.M_120209_2	ERR188033	HG00336	FIN
HG00273.3.M_120202_7	ERR188034	HG00273	FIN
HG00123.4.M_120208_7	ERR188035	HG00123	GBR
HG00236.5.M_120131_5	ERR188036	HG00236	GBR
NA19236.4.M_120208_1	ERR188037	NA19236	YRI
HG00345.1.M_120209_1	ERR188038	HG00345	FIN
NA12144.4.M_120208_1	ERR188039	NA12144	CEU
HG00096.1.M_111124_6	ERR188040	HG00096	GBR
HG00157.5.M_120131_3	ERR188041	HG00157	GBR
NA19204.1.M_111124_6	ERR188042	NA19204	YRI
HG00384.2.M_111216_4	ERR188043	HG00384	FIN
NA18498.2.M_120131_1	ERR188044	NA18498	YRI
HG00321.2.M_111216_2	ERR188045	HG00321	FIN
HG00320.1.M_111124_1	ERR188046	HG00320	FIN
NA06994.2.M_111215_7	ERR188047	NA06994	CEU
NA12489.1.M_111124_2	ERR188048	NA12489	CEU
NA11931.1.M_111124_8	ERR188049	NA11931	CEU
NA20518.4.M_120208_3	ERR188050	NA20518	TSI
NA12830.1.M_111124_2	ERR188051	NA12830	CEU
NA20541.1.M_111124_4	ERR188052	NA20541	TSI
HG00242.3.M_120202_7	ERR188053	HG00242	GBR
NA20752.5.M_120131_7	ERR188054	NA20752	TSI
NA19171.1.M_111124_7	ERR188055	NA19171	YRI
HG00331.7.M_120219_8	ERR188056	HG00331	FIN
HG00262.2.M_111215_8	ERR188057	HG00262	GBR
NA12005.4.M_120208_1	ERR188058	NA12005	CEU
HG00125.1.M_111124_6	ERR188059	HG00125	GBR
NA18517.3.M_120202_1	ERR188060	NA18517	YRI
NA12761.6.M_120119_2	ERR188061	NA12761	CEU
NA11992.6.M_120119_5	ERR188062	NA11992	CEU
NA20509.7.M_120219_7	ERR188063	NA20509	TSI
NA19144.1.M_120209_1	ERR188064	NA19144	YRI
HG00149.1.M_111124_6	ERR188065	HG00149	GBR
NA19118.7.M_120219_8	ERR188066	NA19118	YRI
NA11831.7.M_120219_2	ERR188067	NA11831	CEU
NA20759.4.M_120208_3	ERR188068	NA20759	TSI
NA19096.4.M_120208_4	ERR188069	NA19096	YRI
HG00263.6.M_120119_3	ERR188070	HG00263	GBR
HG00114.6.M_120217_1	ERR188071	HG00114	GBR
NA19137.1.M_111124_7	ERR188072	NA19137	YRI
HG00145.6.M_120119_1	ERR188073	HG00145	GBR
NA19257.6.M_120119_2	ERR188074	NA19257	YRI
HG00349.4.M_120208_4	ERR188075	HG00349	FIN
NA12006.5.M_120131_1	ERR188076	NA12006	CEU
NA11893.7.M_120219_3	ERR188077	NA11893	CEU
HG00372.4.M_120208_3	ERR188078	HG00372	FIN
NA20778.4.M_120208_1	ERR188079	NA20778	TSI
HG00250.1.M_111124_4	ERR188080	HG00250	GBR
NA12814.7.M_120219_3	ERR188081	NA12814	CEU
HG00110.2.M_120131_2	ERR188082	HG00110	GBR
HG00285.3.M_120202_5	ERR188083	HG00285	FIN
HG00152.7.M_120219_3	ERR188084	HG00152	GBR
NA18520.1.M_111124_1	ERR188085	NA18520	YRI
NA11892.1.M_111124_2	ERR188086	NA11892	CEU
HG00121.1.M_111124_7	ERR188087	HG00121	GBR
NA20504.1.M_111124_7	ERR188088	NA20504	TSI
HG00358.5.M_120131_5	ERR188089	HG00358	FIN
HG00186.3.M_120202_5	ERR188090	HG00186	FIN
HG00256.2.M_111215_7	ERR188091	HG00256	GBR
NA12546.3.M_120202_4	ERR188092	NA12546	CEU
NA19150.5.M_120131_7	ERR188093	NA19150	YRI
NA20806.3.M_120202_5	ERR188094	NA20806	TSI
HG00137.6.M_120217_1	ERR188095	HG00137	GBR
NA18933.1.M_111124_2	ERR188096	NA18933	YRI
NA18511.7.M_120219_2	ERR188097	NA18511	YRI
HG00337.5.M_120131_5	ERR188098	HG00337	FIN
NA12843.6.M_120119_4	ERR188099	NA12843	CEU
NA12762.4.M_120208_3	ERR188100	NA12762	CEU
NA10847.4.M_120208_4	ERR188101	NA10847	CEU
HG00383.1.M_111124_1	ERR188102	HG00383	FIN
NA19184.1.M_111124_1	ERR188103	NA19184	YRI
NA19146.5.M_120131_5	ERR188104	NA19146	YRI
NA20768.5.M_120131_1	ERR188105	NA20768	TSI
HG00247.3.M_120202_1	ERR188106	HG00247	GBR
NA12342.1.M_111124_5	ERR188107	NA12342	CEU
NA20754.4.M_120208_1	ERR188108	NA20754	TSI
NA19121.3.M_120202_6	ERR188109	NA19121	YRI
NA20760.3.M_120202_5	ERR188110	NA20760	TSI
HG00255.2.M_111216_1	ERR188111	HG00255	GBR
HG00239.7.M_120219_4	ERR188112	HG00239	GBR
HG00324.1.M_111124_2	ERR188113	HG00324	FIN
NA20534.2.M_111215_8	ERR188114	NA20534	TSI
HG00382.4.M_120208_4	ERR188115	HG00382	FIN
HG00151.3.M_120202_4	ERR188116	HG00151	GBR
HG00268.5.M_120131_3	ERR188117	HG00268	FIN
HG00181.4.M_120208_4	ERR188118	HG00181	FIN
HG00119.2.M_111216_6	ERR188119	HG00119	GBR
NA19256.6.M_120119_6	ERR188120	NA19256	YRI
HG00311.4.M_120208_6	ERR188121	HG00311	FIN
NA11894.2.M_111215_4	ERR188122	NA11894	CEU
HG00313.2.M_111216_6	ERR188123	HG00313	FIN
HG00351.6.M_120119_5	ERR188124	HG00351	FIN
NA20826.1.M_111124_1	ERR188125	NA20826	TSI
NA20766.1.M_111124_4	ERR188126	NA20766	TSI
HG00334.2.M_111216_5	ERR188127	HG00334	FIN
NA19092.1.M_111124_3	ERR188128	NA19092	YRI
NA19197.3.M_120202_2	ERR188129	NA19197	YRI
HG00261.6.M_120119_2	ERR188130	HG00261	GBR
NA19213.2.M_111215_6	ERR188131	NA19213	YRI
NA20797.2.M_111215_6	ERR188132	NA20797	TSI
HG00135.3.M_120202_8	ERR188133	HG00135	GBR
NA12827.3.M_120202_2	ERR188134	NA12827	CEU
NA07346.2.M_111215_7	ERR188135	NA07346	CEU
HG00103.4.M_120208_3	ERR188136	HG00103	GBR
NA20812.2.M_111216_6	ERR188137	NA20812	TSI
NA20539.4.M_120208_5	ERR188138	NA20539	TSI
NA18917.1.M_111124_5	ERR188139	NA18917	YRI
NA12716.7.M_120219_6	ERR188140	NA12716	CEU
HG00343.1.M_111124_5	ERR188141	HG00343	FIN
NA12287.3.M_120202_3	ERR188142	NA12287	CEU
NA18487.6.M_120119_5	ERR188143	NA18487	YRI
HG00139.7.M_120219_1	ERR188144	HG00139	GBR
NA20519.1.M_111124_5	ERR188145	NA20519	TSI
HG00180.1.M_111124_8	ERR188146	HG00180	FIN
NA20804.4.M_120208_1	ERR188147	NA20804	TSI
NA12282.3.M_120202_7	ERR188148	NA12282	CEU
HG00182.1.M_111124_4	ERR188149	HG00182	FIN
HG00366.4.M_120208_1	ERR188150	HG00366	FIN
